,Run,LibraryName,LibraryStrategy,LibrarySelection,SampleName,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
115,SRR16195045,GSM5609660,OTHER,other,GSM5609660,HUVEC+H9 scONEseq 042,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 042,GPL18573,Illumina NextSeq 500
116,SRR16195043,GSM5609662,OTHER,other,GSM5609662,HUVEC+H9 scONEseq 044,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 044,GPL18573,Illumina NextSeq 500
117,SRR16195044,GSM5609661,OTHER,other,GSM5609661,HUVEC+H9 scONEseq 043,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 043,GPL18573,Illumina NextSeq 500
118,SRR16195042,GSM5609663,OTHER,other,GSM5609663,HUVEC+H9 scONEseq 045,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 045,GPL18573,Illumina NextSeq 500
119,SRR16195041,GSM5609664,OTHER,other,GSM5609664,HUVEC+H9 scONEseq 046,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 046,GPL18573,Illumina NextSeq 500
120,SRR16195040,GSM5609665,OTHER,other,GSM5609665,HUVEC+H9 scONEseq 047,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 047,GPL18573,Illumina NextSeq 500
121,SRR16195039,GSM5609666,OTHER,other,GSM5609666,HUVEC+H9 scONEseq 048,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 048,GPL18573,Illumina NextSeq 500
122,SRR16195038,GSM5609667,OTHER,other,GSM5609667,HUVEC+H9 scONEseq 049,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 049,GPL18573,Illumina NextSeq 500
123,SRR16195036,GSM5609813,OTHER,other,GSM5609813,NPC43 scONEseq 128,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 128,GPL18573,Illumina NextSeq 500
124,SRR16195037,GSM5609812,OTHER,other,GSM5609812,NPC43 scONEseq 127,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 127,GPL18573,Illumina NextSeq 500
125,SRR16195035,GSM5609814,OTHER,other,GSM5609814,NPC43 scONEseq 129,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 129,GPL18573,Illumina NextSeq 500
126,SRR16195034,GSM5609815,OTHER,other,GSM5609815,NPC43 scONEseq 130,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 130,GPL18573,Illumina NextSeq 500
127,SRR16195033,GSM5609816,OTHER,other,GSM5609816,NPC43 scONEseq 131,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 131,GPL18573,Illumina NextSeq 500
128,SRR16195032,GSM5609817,OTHER,other,GSM5609817,NPC43 scONEseq 132,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 132,GPL18573,Illumina NextSeq 500
